"string","string","string","string","string","string","string","string","string"
"Id","ko","en","ja","tw","fr","de","cn","es"
"option_1","주의","Notice","注意","tw","fr","de","cn","es"
"option_1","일본어 (JA)","Japanese (JA)","ja","tw","fr","de","cn","es"
"notice_contact_prefix","불편하거나 이상한 점을 발견하시면 Discord(@ushigai),","If you notice anything, please contact us via Discord(@ushigai),","何かお気づきの点があればDiscord(@ushigai),","tw","fr","de","cn","es"
"notice_contact_github","GitHub issue","GitHub issue","GitHubのissue","tw","fr","de","cn","es"
"notice_contact_suffix","알려주세요","Please let us know.","にてお知らせください","tw","fr","de","cn","es"
"option_1","데미지 계산식이 아직 미완성이라 실측보다 몇 % 낮게 계산됩니다. 따라서 가상 적 HP 감소량과 실제 데미지 수치는 신뢰하기 어렵지만, 스킬별 데미지 비율이나 캐릭터 비교에는 충분히 유용하다고 생각합니다","The damage formula is still incomplete, so results are calculated a few percent lower than measured values. Therefore, simulated enemy HP reduction and absolute damage values may be unreliable, but skill-by-skill damage ratios and character comparisons should still be useful","ダメージ計算式がまだ未完成で実測よりも数%低く算出されます。なので仮想敵HP削りやダメージ実数値は信用できませんがスキルごとのダメージ割合やキャラ比較については十分役に立つと思います","tw","fr","de","cn","es"
"option_1","마나 회복 계산식에 오류가 있어 실제보다 궁극기가 아주 조금 더 자주 발동됩니다(수정 예정)","There is an error in the mana recovery formula, causing ultimates to trigger slightly more often than in actual gameplay (planned fix)","マナの回復計算式に間違いがあり実際より究極がほんの少し多く発動するようになっています（修正予定）","tw","fr","de","cn","es"
"option_1","페이지를 오래 켜 둔 채 방치하면 DPS 결과가 실제보다 많이 낮게 표시되는 버그가 있어, 필요 시 페이지를 새로고침해 주세요","If the page is left open for a long time, there is a bug where DPS results may display much lower than expected, so please refresh the page as needed","ページを開いて長時間放置するとDPS結果が低くかなり低く表示されるバグがあるので適宜ページの更新をお願いします","tw","fr","de","cn","es"
"option_1","보물 등 전반적인 데미지 증가 효과는 가산으로 계산됨 (예: 아이언미야옹 v2의 경우 비전서+마법사의 모자+기술 강화+Lv12 패시브+세제)","General damage increases (including treasure effects) are calculated additively (e.g., for Iron Meow v2: Arcane Tome+Wizard's Hat+Tech Enhancement+Lv12 Passive+Detergent)","財宝などのダメージ増加全般は加算として計算（e.g. アイアンニャンv2の場合、秘伝書+魔法使いの帽子+技術強化+Lv12パッシブ+洗剤）","tw","fr","de","cn","es"
"option_1","DPS 산출 로직","DPS calculation logic","DPS算出のロジック","tw","fr","de","cn","es"
"option_1","가상 적은 보스 2체이며 항상 기절 상태","Simulated enemies are two bosses and are always stunned","仮想敵はボス2体で常に気絶中","tw","fr","de","cn","es"
"option_1","재보 등 전반적인 데미지 증가 효과는 가산으로 계산됨 (예: 아이언냥 v2의 경우 비전서+마법사 모자+기술 강화+Lv12 패시브+세제)","General damage increases (including treasure effects) are calculated additively (e.g., for Iron Nyan v2: Secret Manual+Wizard Hat+Tech Enhancement+Lv12 Passive+Detergent)","財宝などのダメージ増加全般は加算として計算（e.g. アイアンニャンv2の場合、秘伝書+魔法使いの帽子+技術強化+Lv12パッシブ+洗剤）","tw","fr","de","cn","es"
"option_1","캐릭터 모션 프레임 수는 반영하지 않아, 모든 동작이 기본 공격과 동일한 속도로 발동됨","Character motion frame counts are not reflected; all actions trigger at the same speed as basic attacks","キャラのモーションフレーム数は反映していなく全て基本攻撃と同じ速度で発動している","tw","fr","de","cn","es"
"option_1","검증 필요 항목","Items to verify","要検証項目","tw","fr","de","cn","es"
"option_1","GitHub 이슈에서 관리","Managed via GitHub issues","GitHubのissueにて管理","tw","fr","de","cn","es"
"option_1","https://github.com/ushigai/LuckyDefense_tools/issues","https://github.com/ushigai/LuckyDefense_tools/issues","https://github.com/ushigai/LuckyDefense_tools/issues","tw","fr","de","cn","es"
"option_1","구현 예정 기능","Planned features","実装予定の機能","tw","fr","de","cn","es"
"option_1","블롭 피규어 반영","Blob Figure effects","ブロッブ人形の反映","tw","fr","de","cn","es"
"option_1","룬 반영","Apply rune effects","ルーンの反映","tw","fr","de","cn","es"
"option_1","펫 레벨 합계 버프 반영","Apply total pet-level buff","ペットレベル合計バフの反映","tw","fr","de","cn","es"
"option_1","각 캐릭터의 물리/마법, 단일/다수 등 구분별 데미지 비율","Damage ratio by category for each character (physical/magic, single-target/multi-target, etc.)","各キャラの物理/魔法、単体/複数など区分別ダメージ割合","tw","fr","de","cn","es"
"option_1","계산 결과 이미지 출력 기능","Image export feature for calculation results","計算結果の画像出力機能","tw","fr","de","cn","es"
"option_1","총 피해량","Total damage","ダメージ合計","tw","fr","de","cn","es"
"option_1","가상 적","Simulated Enemy","仮想敵","tw","fr","de","cn","es"
"option_1","주요 버프","Main Buff","主要バフ","tw","fr","de","cn","es"
"option_1","모든 유물 레벨","All Relic Levels","全遺物レベル","tw","fr","de","cn","es"
"option_1","하단 유물 레벨과 자동 동기화","Automatically sync with relic levels below","下段の遺物レベルと自動同期","tw","fr","de","cn","es"
"option_1","신화 강화 Lv","Mythic Enhancement Lv","神話強化Lv","tw","fr","de","cn","es"
"option_1","공격력 버프%","ATK Buff %","攻撃力バフ%","tw","fr","de","cn","es"
"option_1","마나 회복 속도 버프%","Mana Recovery Speed Buff %","マナ回復速度バフ%","tw","fr","de","cn","es"
"option_1","방어력 감소값","Defense Reduction","防御力減少値","tw","fr","de","cn","es"
"option_1","코인 개수","Number of Coins","コイン枚数","tw","fr","de","cn","es"
"option_1","유물 레벨","Relic Levels","遺物レベル","tw","fr","de","cn","es"
"option_1","펫 편성","Pets","ペット編成","tw","fr","de","cn","es"
"option_1","펫1","Pet 1","ペット1","tw","fr","de","cn","es"
"option_1","펫2","Pet 2","ペット2","tw","fr","de","cn","es"
"option_1","펫3","Pet 3","ペット3","tw","fr","de","cn","es"
"option_1","블롭 피규어 (미구현)","Blob Figure (Not implemented)","ブロッブ人形（未実装）","tw","fr","de","cn","es"
"option_1","수치","Value","数値","tw","fr","de","cn","es"
"option_1","기타 버프","Other Buffs","その他バフ","tw","fr","de","cn","es"
